Country,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
Africa Eastern and Southern,primary,78.7628173828125,81.4848709106445,83.9098205566406,87.5231781005859,89.6281967163086,92.893928527832,95.3214797973633,98.4766082763672,102.146499633789,101.704643249512,101.005401611328,100.985237121582,101.240112304688,100.529190063477,100.930152893066,99.6975326538086,100.342109680176,101.228408813477,102.624809265137,103.610618591309,104.591941833496,103.366081237793,100.50830078125,100.85758972168,101.309242248535
Africa Eastern and Southern,primary_male,83.3678512573242,86.1019592285156,88.7648468017578,92.3664398193359,94.1967620849609,97.1745223999023,99.1968688964844,102.355903625488,105.863906860352,104.935249328613,104.07836151123,104.747787475586,104.623512268066,103.379051208496,103.519523620605,101.695373535156,102.173400878906,103.185272216797,104.823997497559,105.613983154297,106.479591369629,104.912391662598,101.695259094238,101.874801635742,102.28556060791
Africa Eastern and Southern,primary_female,74.1068725585938,76.817268371582,79.0013275146484,82.6263275146484,85.0080413818359,88.5643615722656,91.4014282226562,94.5530624389648,98.3871002197266,98.4381637573242,97.8992309570312,97.1828231811523,97.8210601806641,97.6475296020508,98.3120574951172,97.6766204833984,98.4886779785156,99.2469177246094,100.397392272949,101.581253051758,102.679443359375,101.799057006836,99.3051300048828,99.8260803222656,100.319190979004
Africa Eastern and Southern,secondary,27.7371292114258,28.7891101837158,29.4754505157471,30.0984306335449,31.5510196685791,32.5553398132324,34.0642395019531,35.4449501037598,36.8555488586426,37.9614715576172,38.864860534668,39.4915084838867,40.5120582580566,41.1352310180664,42.2156600952148,42.2618598937988,42.6814994812012,43.2540893554688,43.5594100952148,44.1287307739258,44.682559967041,45.1505317687988,45.2816200256348,45.1553916931152,45.6060791015625
Africa Western and Central,primary,80.5795135498047,81.1157913208008,82.8384094238281,83.5836715698242,85.4685897827148,86.3789825439453,87.1062622070312,84.3852386474609,81.9908599853516,83.7195510864258,84.4784698486328,87.8220062255859,89.4396514892578,90.5897598266602,89.1206970214844,87.0966186523438,86.6979904174805,86.7825393676758,86.6523513793945,87.5555572509766,88.1576232910156,88.094856262207,89.5019226074219,90.8780364990234,91.0609893798828
Africa Western and Central,primary_male,89.5402526855469,89.5624771118164,91.3788375854492,91.6851425170898,93.3617935180664,93.9539413452148,94.0319366455078,90.2734909057617,87.4185104370117,88.8881912231445,89.1337890625,91.7974090576172,92.3349533081055,93.351676940918,91.5471572875977,89.569938659668,89.6603698730469,89.3093109130859,88.7229919433594,89.3064727783203,89.6025772094727,89.3786163330078,90.9440765380859,92.4607009887695,92.4012222290039
Africa Western and Central,secondary,22.3391399383545,23.9813995361328,25.3692607879639,27.1360893249512,28.7706794738769,29.5611190795898,29.8653297424316,30.1015605926514,32.6177215576172,35.1795806884766,38.3284301757812,40.1716804504395,41.6457786560059,46.4255905151367,42.5117301940918,43.7089309692383,42.3061790466309,42.4331703186035,42.7145614624023,43.9062690734863,44.7343406677246,45.5674285888672,45.6372985839844,46.4422416687012,46.3004913330078
Africa Western and Central,primary_female,71.4281768798828,72.4831008911133,74.1047286987305,75.2953186035156,77.389030456543,78.62255859375,80.0140228271484,78.3549194335938,76.4313812255859,78.4203033447266,79.7003021240234,83.7380523681641,86.4632720947266,87.7490921020508,86.623908996582,84.5517883300781,83.6496429443359,84.1819534301758,84.5205307006836,85.7524185180664,86.6695709228516,86.7731704711914,88.0174407958984,89.2489776611328,89.6820220947266
Africa Western and Central,secondary_female,18.7828693389893,20.19407081604,20.6358604431152,22.5834197998047,24.1746807098389,25.2043399810791,25.3873996734619,25.3766708374023,28.1702404022217,30.8871803283691,33.9896202087402,35.5903816223145,37.8155899047852,42.5206108093262,38.7878112792969,40.3699607849121,39.0918617248535,39.740650177002,40.4764213562012,42.076530456543,43.326961517334,44.3946685791016,44.9384689331055,46.1132011413574,46.0673294067383
Africa Western and Central,secondary_male,25.8329792022705,27.6993408203125,30.0123596191406,31.5979099273682,33.2710914611816,33.8232002258301,34.2423706054688,34.7163581848145,36.9593315124512,39.3696784973145,42.5637512207031,44.6402587890625,45.3772811889648,50.2240180969238,46.1268005371094,46.9467315673828,45.4205017089844,45.0409698486328,44.8823089599609,45.6785697937012,46.0977096557617,46.7034606933594,46.3141708374023,46.7609710693359,46.5263290405273
